MI,No.overlap
0.245345695,5301
0.23538033,5101
0.249883207,5373
0.693420857,13952
0.888225276,17701
0.42334781,8706
0.645705047,13001
1.120834793,22177
0.430072553,8822
0.314493075,6576
0.452204524,9217
0.308354528,6449
0.267927876,5670
0.38307285,7845
0.294906111,6156
0.01713311,846
0.092428097,2282
0.019437197,889
0.250249174,5279
0.408190828,8275
0.882365556,17251
0.381105107,7733
0.59472026,11775
0.380673522,7708
0.350706607,7127
0.278795641,5745
0.093856118,2271
0.479684319,9495
0.339666221,6869
0.412722886,8218
0.288058755,5882
0.364599415,7309
0.097926028,2331
0.101768138,2401
0.359467448,7194
0.473364221,9308
0.274870946,5614
0.670918778,12972
0.220939956,4600
0.383848535,7620
0.705508163,13577
0.492240559,9618
0.16569287,3569
0.417218835,8215
0.760280478,14548
0.381947382,7525
0.397679841,7809
0.225019622,4628
0.33227902,6581
0.560829722,10738
0.4019232,7815
0.094594562,2202
0.350299353,6820
0.487962204,9287
0.438693816,8397
0.642058418,12057
0.335432476,6527
0.422120635,8057
0.432077846,8234
0.319407153,6212
0.088915029,2080
0.127341985,2767
0.0542505,1458
0.624767679,11670
0.252849062,4997
0.64374362,11944
0.17008122,3506
0.740099851,13621
0.078287997,1872
0.418912407,7900
0.04137158,1213
0.105880584,2347
0.463378635,8643
0.416917957,7816
0.464810829,8647
0.358754363,6762
0.258453059,5004
0.305085476,5818
0.285193742,5464
0.307025385,5828
0.327833156,6186
0.045346341,1263
0.255900533,4915
0.44013195,8082
0.67895619,12211
0.122974651,2596
0.61069346,11018
0.239955475,4614
0.273860407,5194
0.149201142,3043
0.363713879,6737
0.157062952,3175
0.60568917,10890
0.494918311,8976
0.026523996,923
0.287016369,5395
0.465276446,8454
0.480169075,8701
0.37632693,6915
0.788340747,13971
0.710219496,12628
0.64868095,11564
0.290364539,5432
0.577213003,10323
0.198973143,3851
0.090215616,1997
0.28110163,5238
0.358611708,6513
0.355760173,6463
0.327694446,5981
0.313172728,5724
0.107714603,2267
0.66286751,11579
0.392269737,7025
0.49682703,8763
0.602860007,10528
0.650983492,11331
0.373701541,6666
0.410964487,7270
0.495105502,8622
0.321262402,5749
0.547721619,9477
0.086789962,1878
0.731341547,12466
0.694210993,11844
0.471151652,8179
0.493895133,8549
0.670247073,11418
0.327952248,5801
0.677092085,11501
0.266609641,4785
0.478101987,8225
0.110364277,2239
0.135436097,2646
0.308098011,5439
0.430588309,7416
0.255783929,4582
0.385090384,6666
0.555033327,9409
0.247184975,4429
0.301829824,5304
0.532613813,9000
0.417869968,7155
0.421522117,7211
0.490780739,8318
0.252899174,4497
0.528640684,8920
0.732529579,12186
0.116796507,2306
0.296213105,5171
0.028545445,890
0.559159359,9360
0.475098558,8016
0.510200395,8572
0.355340072,6086
0.379101359,6457
0.673835317,11133
0.209070597,3739
1.015492082,16485
0.352274773,5998
0.437485185,7343
0.249063104,4364
0.362234214,6151
0.904809068,14703
0.219244431,3886
0.567185101,9338
0.213663881,3782
0.074105675,1590
0.084880629,1759
0.183591785,3306
0.443300132,7369
0.392890694,6571
0.218984689,3834
0.621842177,10108
0.212021013,3725
0.146103107,2691
0.054730892,1271
0.345529027,5782
0.530047571,8626
0.455285709,7451
0.365217765,6059
0.878530346,13964
0.517346004,8394
0.132021701,2451
0.062249958,1375
0.430428954,7034
0.382146817,6290
0.10024237,1956
0.059868268,1336
0.38963299,6393
0.300943618,5021
0.097000685,1900
0.495379266,7994
0.233796651,3992
0.921564146,14490
0.982035708,15374
0.598989299,9536
0.293672749,4872
0.417247698,6730
0.086209195,1715
0.670042932,10538
0.275154633,4564
0.2644808,4389
0.309269616,5058
0.037051806,965
0.393994218,6326
0.152772279,2699
0.554528897,8724
0.204730327,3476
0.311427464,5067
1.054724021,16164
0.177327105,3048
0.299343534,4863
0.116304412,2136
0.181196223,3094
0.527159,8215
0.147847868,2592
0.510642385,7953
0.341300447,5439
0.265178584,4310
0.194319752,3265
0.602433708,9246
0.213300231,3528
0.195153929,3261
0.556576542,8553
0.238680969,3895
0.349780931,5513
0.478959308,7399
0.445364213,6905
1.195676585,17812
0.650648997,9854
0.601826627,9142
0.189416184,3138
0.287620318,4559
0.096738469,1787
0.19711191,3224
0.829596228,12303
0.504293686,7616
0.136219692,2341
0.57077225,8566
0.103353063,1867
0.656915284,9779
0.291635828,4539
0.172725799,2841
0.162430031,2690
0.314714841,4844
0.366643635,5559
0.299893304,4615
0.093381726,1700
0.448985943,6713
0.237911459,3732
0.523511553,7735
0.455473998,6779
0.462857067,6875
0.831171833,12030
0.388543409,5824
0.42667654,6353
0.313346616,4766
0.297064914,4531
0.036936751,896
0.082782491,1536
0.425537847,6300
0.291382207,4422
0.134024088,2237
0.426319695,6281
0.25204919,3859
0.074045586,1399
0.543441485,7872
0.396180429,5839
0.068317343,1317
0.419471838,6156
0.484037658,7040
0.137555927,2266
0.178951455,2833
0.405553048,5945
0.692793031,9870
0.536033626,7721
0.239300924,3645
0.131427487,2167
0.402731689,5868
0.257797888,3885
0.21133547,3249
0.397827656,5788
0.651728514,9243
0.111655997,1887
0.234606444,3558
0.302413575,4477
0.833631844,11691
0.610874052,8661
0.37081162,5399
0.708052869,9949
0.457128778,6552
0.466092513,6666
0.232214596,3500
0.176453263,2747
0.156785258,2480
0.745532398,10414
0.587268855,8281
0.461958542,6585
0.386980329,5572
0.019165479,623
0.25698307,3816
